,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,3,-33,-1,-25
1,2,-25,-2,-24
2,2,-31,-4,-19
3,5,-28,0,-24
4,2,-32,0,-29
5,-1,-28,-3,-21
6,1,-26,-3,-26
7,-2,-36,-1,-22
8,0,-32,-8,-25
9,0,-36,0,-26
10,-1,-29,2,-26
11,-2,-26,5,-23
12,-3,-30,3,-25
13,-1,-32,0,-25
14,1,-25,0,-23
15,2,-27,-3,-23
16,2,-33,3,-25
17,4,-31,3,-23
18,-1,-28,-2,-21
19,0,-29,-9,-25
20,3,-31,-1,-19
21,-2,-29,0,-24
22,-2,89,0,-24
23,1,-31,-1,-20
24,4,-27,-2,-22
