,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,-9,-28,-14,-21
1,-4,-29,-20,-24
2,-9,-27,-16,-22
3,-16,-33,-17,-19
4,-10,-29,-11,-22
5,-10,-24,-16,-27
6,-7,-27,-13,-25
7,-10,-29,-20,-19
8,-9,-25,-14,-26
9,-8,-31,-17,-28
10,-11,-26,-16,-22
11,-9,-24,-15,-21
12,-5,-29,-14,-19
13,-5,-27,-14,-17
14,-10,-27,-14,-23
15,-5,-22,-18,-21
16,-11,-33,-17,-22
17,-8,-30,-19,-19
18,-10,-26,-12,-20
19,-9,-28,-13,-19
20,-4,-30,-12,-24
21,-8,-30,-14,-20
22,-12,-33,-14,-23
23,-8,-27,-12,-23
24,-11,-26,-13,-27
