,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,-24,-25,-4,-25
1,-24,-23,-10,-21
2,-24,-23,-10,-25
3,-23,-20,-11,-24
4,-27,-23,-1,-24
5,-22,-24,-11,-22
6,-24,-29,-4,-19
7,-22,-26,-7,-19
8,-20,-24,-9,-18
9,-24,-21,-5,-20
10,-27,-29,-4,-23
11,-29,-31,-7,-26
12,-24,-29,-9,-20
13,-22,-29,-4,-22
14,-25,-29,-13,-19
15,-25,-56,-9,-22
16,-23,-34,-16,-20
17,-24,-21,-10,-17
18,-26,-22,-11,-19
19,-24,12,-11,-18
20,-23,-25,-22,-25
21,-24,-28,-13,-16
22,-27,-39,-15,-17
23,-23,-27,-18,-22
24,-26,-90,-5,-20
