,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,-6,-15,3,-11
1,-6,-16,1,-10
2,-6,-19,-1,-14
3,-3,-17,-1,-13
4,-7,-16,-3,-14
5,-10,-16,-2,-8
6,-5,-16,-6,-12
7,-5,-17,3,-13
8,-6,-21,-1,-12
9,-3,-14,-3,-12
10,-10,-12,-1,-12
11,-4,-16,1,-12
12,-6,-11,1,-12
13,-4,-15,-3,-12
14,-2,-16,-1,-14
15,-11,-15,-4,-13
16,-6,-14,-5,-11
17,-4,-21,-4,-15
18,-7,-13,2,-12
19,1,-16,3,-7
20,3,-17,1,-13
21,-7,-17,-5,-12
22,-11,-16,0,-11
23,-2,-15,-3,-12
24,-2,-15,0,-13
