,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,-11,-9,25,2
1,-13,-11,26,-26
2,-11,-11,21,5
3,-16,-10,24,3
4,-11,-6,23,-3
5,-10,-9,24,1
6,-13,-10,29,0
7,-10,-15,21,6
8,-13,-9,19,2
9,-14,-12,25,-2
10,-9,-8,21,3
11,-11,-10,18,-3
12,-11,-7,24,1
13,-10,-11,25,6
14,-14,-9,23,-3
15,-12,-10,22,2
16,-13,-6,21,9
17,-9,-7,24,2
18,-9,-10,20,0
19,-14,-9,19,1
20,-13,-7,21,-1
21,-12,-9,21,5
22,-12,-10,23,0
23,-16,-12,27,5
24,-14,-13,21,2
