,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,-64,-30,-28,-1
1,-65,-45,-23,-4
2,-59,-40,-25,-9
3,-63,-35,-21,-1
4,-59,-43,-18,-3
5,-55,-36,-24,-8
6,-69,-35,-17,-2
7,-62,-35,-23,-3
8,-57,-43,-20,-8
9,-77,-36,-21,-2
10,-64,-42,-20,-3
11,-68,-31,-21,-8
12,-69,-36,-27,-8
13,-21,-30,-24,-9
14,-70,-36,-23,-9
15,-73,-42,-27,-4
16,-62,-46,-24,-6
17,-63,-38,-29,-4
18,-56,-40,-25,-3
19,-61,-32,-24,-8
20,-64,-38,-23,-2
21,-52,-38,-26,-8
22,-57,-35,-26,-8
23,-69,-41,-26,-4
24,-68,-36,-21,-3
