,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,-23,-5,15,9
1,-20,0,14,13
2,-28,-5,12,15
3,-30,-3,12,12
4,-29,-1,14,12
5,-24,-4,16,12
6,-21,-2,14,8
7,-23,-1,15,9
8,-22,0,9,13
9,-19,-4,9,13
10,-22,-3,11,9
11,-25,-6,14,11
12,-22,-7,14,17
13,-21,-3,14,15
14,-26,-4,13,16
15,-16,-4,12,15
16,-27,1,16,17
17,-23,-3,12,17
18,-22,-6,13,15
19,-18,-3,13,15
20,-21,-2,10,18
21,-22,-4,16,11
22,-19,-5,16,12
23,-27,-5,12,15
24,-21,-1,11,14
