,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,-56,-45,-15,19
1,-52,-52,-16,12
2,-57,-42,-18,14
3,-51,-53,-24,13
4,-49,-55,-14,12
5,-44,-49,-18,17
6,-47,-46,-15,14
7,-46,-55,-20,13
8,-46,-46,-17,9
9,-51,-47,-20,19
10,-49,-46,-19,13
11,-48,-51,-16,14
12,-58,-50,-17,14
13,-47,-54,-16,12
14,-49,-47,-19,13
15,-50,-51,-16,12
16,-46,-49,-19,14
17,-54,-48,-12,18
18,-51,-46,-21,10
19,-48,-55,-16,13
20,-47,-52,-16,20
21,-61,-50,-19,11
22,-49,-51,-15,14
23,-55,-50,-14,5
24,-55,-49,-23,14
