,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,33,-30,1,-49
1,36,-29,2,-50
2,36,-30,2,-49
3,35,-29,3,-48
4,36,-28,3,-51
5,34,-29,1,-49
6,36,-28,0,-48
7,35,-29,-1,-48
8,36,-29,1,-50
9,33,-29,2,-46
10,34,-29,-1,-47
11,33,-27,2,-50
