,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,9,15,14,32
1,10,15,14,32
2,9,16,13,33
3,9,13,13,30
4,9,12,15,32
5,10,14,14,33
6,9,14,14,34
7,12,15,14,33
8,8,14,13,32
9,10,16,14,31
10,10,12,14,33
