Timestamp(ms),Current(uA),D0-D7
2.45,8033.228,00000000
2.46,8123.449,00000000
2.47,7988.138,00000000
2.48,8123.449,00000000
2.49,8078.331,00000000
2.5,8258.887,00000000
2.51,8304.062,00000000
2.52,8168.581,00000000
2.53,8304.062,00000000
2.54,8123.449,00000000
2.55,8123.449,00000000
2.56,7943.063,00000000
2.57,8123.449,00000000
2.58,8394.454,00000000
2.59,8123.449,00000000
2.6,8123.449,00000000
2.61,8123.449,00000000
2.62,8168.581,00000000
2.63,8033.228,00000000
2.64,8258.887,00000000
2.65,8304.062,00000000
2.66,8168.581,00000000
2.67,8304.062,00000000
2.68,7852.957,00000000
2.69,8213.727,00000000
2.7,7988.138,00000000
2.71,8123.449,00000000
2.72,8213.727,00000000
2.73,8123.449,00000000
2.74,8213.727,00000000
2.75,7943.063,00000000
2.76,8213.727,00000000
2.77,8213.727,00000000
2.78,8304.062,00000000
2.79,8123.449,00000000
2.8,8123.449,00000000
2.81,8033.228,00000000
2.82,8213.727,00000000
2.83,7988.138,00000000
2.84,8168.581,00000000
2.85,8213.727,00000000
2.86,8078.331,00000000
2.87,7988.138,00000000
2.88,8168.581,00000000
2.89,8349.251,00000000
2.9,8078.331,00000000
2.91,8168.581,00000000
2.92,8033.228,00000000
2.93,8078.331,00000000
2.94,8123.449,00000000
2.95,8213.727,00000000
2.96,8078.331,00000000
2.97,8213.727,00000000
2.98,8213.727,00000000
2.99,8078.331,00000000
3,8349.251,00000000
3.01,8168.581,00000000
3.02,8213.727,00000000
3.03,8078.331,00000000
3.04,8123.449,00000000
3.05,8213.727,00000000
3.06,8168.581,00000000
3.07,8033.228,00000000
3.08,8168.581,00000000
3.09,8304.062,00000000
3.1,8213.727,00000000
3.11,8123.449,00000000
3.12,8078.331,00000000
3.13,8033.228,00000000
3.14,8213.727,00000000
3.15,8304.062,00000000
3.16,8033.228,00000000
3.17,8168.581,00000000
3.18,8168.581,00000000
3.19,8123.449,00000000
3.2,8033.228,00000000
3.21,8213.727,00000000
3.22,8078.331,00000000
3.23,8033.228,00000000
3.24,8213.727,00000000
3.25,7988.138,00000000
3.26,8123.449,00000000
3.27,8213.727,00000000
3.28,8123.449,00000000
3.29,8304.062,00000000
3.3,8033.228,00000000
3.31,8123.449,00000000
3.32,7988.138,00000000
3.33,8258.887,00000000
3.34,8123.449,00000000
3.35,8213.727,00000000
3.36,8168.581,00000000
3.37,8078.331,00000000
3.38,8123.449,00000000
3.39,8078.331,00000000
3.4,8665.974,00000000
3.41,8711.277,00000000
3.42,7627.939,00000000
3.43,7943.063,00000000
3.44,7943.063,00000000
3.45,8078.331,00000000
3.46,7988.138,00000000
3.47,8033.228,00000000
3.48,8213.727,00000000
3.49,8168.581,00000000
3.5,8258.887,00000000
3.51,8213.727,00000000
3.52,8213.727,00000000
3.53,7943.063,00000000
3.54,8123.449,00000000
3.55,8258.887,00000000
3.56,8078.331,00000000
3.57,8349.251,00000000
3.58,7988.138,00000000
3.59,8168.581,00000000
3.6,8168.581,00000000
3.61,8258.887,00000000
3.62,7988.138,00000000
3.63,8213.727,00000000
3.64,8078.331,00000000
3.65,8123.449,00000000
3.66,8213.727,00000000
3.67,8304.062,00000000
3.68,8033.228,00000000
3.69,8078.331,00000000
3.7,8123.449,00000000
3.71,8168.581,00000000
3.72,8123.449,00000000
3.73,8033.228,00000000
3.74,8078.331,00000000
3.75,8123.449,00000000
3.76,8213.727,00000000
3.77,8033.228,00000000
3.78,8033.228,00000000
3.79,8168.581,00000000
3.8,8123.449,00000000
3.81,8168.581,00000000
3.82,7988.138,00000000
3.83,8213.727,00000000
3.84,8033.228,00000000
3.85,8349.251,00000000
3.86,8258.887,00000000
3.87,8213.727,00000000
3.88,8258.887,00000000
3.89,8123.449,00000000
3.9,8258.887,00000000
3.91,8213.727,00000000
3.92,8394.454,00000000
3.93,8168.581,00000000
3.94,8349.251,00000000
3.95,8168.581,00000000
3.96,8078.331,00000000
3.97,8123.449,00000000
3.98,8213.727,00000000
3.99,8168.581,00000000
4,8168.581,00000000
4.01,8168.581,00000000
4.02,8258.887,00000000
4.03,8078.331,00000000
4.04,8168.581,00000000
4.05,8168.581,00000000
4.06,8349.251,00000000
4.07,8439.672,00000000
4.08,8033.228,00000000
4.09,8258.887,00000000
4.1,8304.062,00000000
4.11,8349.251,00000000
4.12,8258.887,00000000
4.13,8168.581,00000000
4.14,8304.062,00000000
4.15,8213.727,00000000
4.16,8168.581,00000000
4.17,8213.727,00000000
4.18,7988.138,00000000
4.19,8168.581,00000000
4.2,7988.138,00000000
4.21,8033.228,00000000
4.22,7988.138,00000000
4.23,8033.228,00000000
4.24,8213.727,00000000
4.25,8078.331,00000000
4.26,7988.138,00000000
4.27,8304.062,00000000
4.28,8168.581,00000000
4.29,8123.449,00000000
4.3,8213.727,00000000
4.31,7988.138,00000000
4.32,8213.727,00000000
4.33,8078.331,00000000
4.34,7943.063,00000000
4.35,8078.331,00000000
4.36,8078.331,00000000
4.37,8168.581,00000000
4.38,8033.228,00000000
4.39,8123.449,00000000
4.4,8575.410,00000000
4.41,8665.974,00000000
4.42,7717.903,00000000
4.43,7493.100,00000000
4.44,7627.939,00000000
4.45,7852.957,00000000
4.46,8078.331,00000000
4.47,7988.138,00000000
4.48,8123.449,00000000
4.49,8213.727,00000000
4.5,8123.449,00000000
4.51,8033.228,00000000
4.52,8078.331,00000000
4.53,8213.727,00000000
4.54,8033.228,00000000
4.55,8033.228,00000000
4.56,8078.331,00000000
4.57,8213.727,00000000
4.58,8033.228,00000000
4.59,8078.331,00000000
4.6,8033.228,00000000
4.61,8213.727,00000000
4.62,7943.063,00000000
4.63,8033.228,00000000
4.64,8168.581,00000000
4.65,8168.581,00000000
4.66,8033.228,00000000
4.67,8168.581,00000000
4.68,8213.727,00000000
4.69,7898.003,00000000
4.7,8078.331,00000000
4.71,8213.727,00000000
4.72,7988.138,00000000
4.73,8304.062,00000000
4.74,7988.138,00000000
4.75,8168.581,00000000
4.76,8123.449,00000000
4.77,8258.887,00000000
4.78,8304.062,00000000
4.79,8349.251,00000000
4.8,8123.449,00000000
4.81,7988.138,00000000
4.82,8394.454,00000000
4.83,8213.727,00000000
4.84,8304.062,00000000
4.85,8258.887,00000000
4.86,8258.887,00000000
4.87,8078.331,00000000
4.88,8123.449,00000000
4.89,8078.331,00000000
4.9,8123.449,00000000
4.91,8123.449,00000000
4.92,8033.228,00000000
4.93,8078.331,00000000
4.94,8213.727,00000000
4.95,8168.581,00000000
4.96,7988.138,00000000
4.97,8033.228,00000000
4.98,8168.581,00000000
4.99,8168.581,00000000
5,7898.003,00000000
5.01,8258.887,00000000
5.02,8033.228,00000000
5.03,8213.727,00000000
5.04,8213.727,00000000
5.05,8123.449,00000000
5.06,8168.581,00000000
5.07,7943.063,00000000
5.08,8078.331,00000000
5.09,8123.449,00000000
5.1,8213.727,00000000
5.11,8123.449,00000000
5.12,7807.925,00000000
5.13,8168.581,00000000
5.14,7988.138,00000000
5.15,8123.449,00000000
5.16,8078.331,00000000
5.17,8258.887,00000000
5.18,8078.331,00000000
5.19,8213.727,00000000
5.2,8213.727,00000000
5.21,8168.581,00000000
5.22,8304.062,00000000
5.23,8304.062,00000000
5.24,8168.581,00000000
5.25,8123.449,00000000
5.26,8168.581,00000000
5.27,8213.727,00000000
5.28,8078.331,00000000
5.29,8078.331,00000000
5.3,8258.887,00000000
5.31,7988.138,00000000
5.32,8258.887,00000000
5.33,8168.581,00000000
5.34,8168.581,00000000
5.35,8168.581,00000000
5.36,8213.727,00000000
5.37,7988.138,00000000
5.38,7898.003,00000000
5.39,8168.581,00000000
5.4,8620.685,00000000
5.41,8530.149,00000000
5.42,7717.903,00000000
5.43,7762.907,00000000
5.44,7988.138,00000000
5.45,8033.228,00000000
5.46,8123.449,00000000
5.47,8033.228,00000000
5.48,8213.727,00000000
5.49,8213.727,00000000
5.5,8168.581,00000000
5.51,8078.331,00000000
5.52,7988.138,00000000
5.53,8349.251,00000000
5.54,8123.449,00000000
5.55,8168.581,00000000
5.56,8304.062,00000000
5.57,7988.138,00000000
5.58,7988.138,00000000
5.59,8033.228,00000000
5.6,8213.727,00000000
5.61,8078.331,00000000
5.62,8123.449,00000000
5.63,8078.331,00000000
5.64,7988.138,00000000
5.65,8033.228,00000000
5.66,8078.331,00000000
5.67,8078.331,00000000
5.68,8123.449,00000000
5.69,8258.887,00000000
5.7,8213.727,00000000
5.71,8123.449,00000000
5.72,8078.331,00000000
5.73,8033.228,00000000
5.74,8213.727,00000000
5.75,8078.331,00000000
5.76,7988.138,00000000
5.77,8213.727,00000000
5.78,8123.449,00000000
5.79,8213.727,00000000
5.8,8033.228,00000000
