Timestamp(ms),Current(uA),D0-D7
2.45,6018.348,00000000
2.46,5973.901,00000000
2.47,6062.809,00000000
2.48,5929.469,00000000
2.49,6062.809,00000000
2.5,5796.257,00000000
2.51,6107.285,00000000
2.52,6018.348,00000000
2.53,5973.901,00000000
2.54,6018.348,00000000
2.55,6062.809,00000000
2.56,6018.348,00000000
2.57,5885.050,00000000
2.58,6196.278,00000000
2.59,5973.901,00000000
2.6,6107.285,00000000
2.61,5973.901,00000000
2.62,6151.774,00000000
2.63,5973.901,00000000
2.64,6018.348,00000000
2.65,6107.285,00000000
2.66,5973.901,00000000
2.67,5973.901,00000000
2.68,6240.796,00000000
2.69,6597.456,00000000
2.7,5751.881,00000000
2.71,5707.520,00000000
2.72,5663.173,00000000
2.73,5840.646,00000000
2.74,5840.646,00000000
2.75,5973.901,00000000
2.76,5840.646,00000000
2.77,5973.901,00000000
2.78,6018.348,00000000
2.79,5929.469,00000000
2.8,5973.901,00000000
2.81,5929.469,00000000
2.82,6018.348,00000000
2.83,5929.469,00000000
2.84,5973.901,00000000
2.85,6018.348,00000000
2.86,6240.796,00000000
2.87,6151.774,00000000
2.88,6151.774,00000000
2.89,6151.774,00000000
2.9,5973.901,00000000
2.91,6107.285,00000000
2.92,5885.050,00000000
2.93,5973.901,00000000
2.94,5840.646,00000000
2.95,6196.278,00000000
2.96,5929.469,00000000
2.97,6018.348,00000000
2.98,6018.348,00000000
2.99,5973.901,00000000
3,6151.774,00000000
3.01,6196.278,00000000
3.02,6240.796,00000000
3.03,5973.901,00000000
3.04,6018.348,00000000
3.05,5973.901,00000000
3.06,6196.278,00000000
3.07,5840.646,00000000
3.08,6107.285,00000000
3.09,6018.348,00000000
3.1,6018.348,00000000
3.11,6062.809,00000000
3.12,6107.285,00000000
3.13,6107.285,00000000
3.14,5973.901,00000000
3.15,6018.348,00000000
3.16,5929.469,00000000
3.17,6018.348,00000000
3.18,5840.646,00000000
3.19,6018.348,00000000
3.2,5929.469,00000000
3.21,6018.348,00000000
3.22,6062.809,00000000
3.23,6107.285,00000000
3.24,6062.809,00000000
3.25,6018.348,00000000
3.26,6107.285,00000000
3.27,5929.469,00000000
3.28,6062.809,00000000
3.29,6018.348,00000000
3.3,6196.278,00000000
3.31,5929.469,00000000
3.32,6151.774,00000000
3.33,6018.348,00000000
3.34,6151.774,00000000
3.35,6151.774,00000000
3.36,5973.901,00000000
3.37,6151.774,00000000
3.38,5929.469,00000000
3.39,5973.901,00000000
3.4,5885.050,00000000
3.41,5973.901,00000000
3.42,5973.901,00000000
3.43,6018.348,00000000
3.44,6062.809,00000000
3.45,5929.469,00000000
3.46,6062.809,00000000
3.47,6018.348,00000000
3.48,6062.809,00000000
3.49,5929.469,00000000
3.5,6018.348,00000000
3.51,5929.469,00000000
3.52,5973.901,00000000
3.53,6062.809,00000000
3.54,6018.348,00000000
3.55,5929.469,00000000
3.56,5840.646,00000000
3.57,5929.469,00000000
3.58,5840.646,00000000
3.59,6018.348,00000000
3.6,6018.348,00000000
3.61,5929.469,00000000
3.62,5885.050,00000000
3.63,6107.285,00000000
3.64,6018.348,00000000
3.65,6151.774,00000000
3.66,6151.774,00000000
3.67,5973.901,00000000
3.68,6419.012,00000000
3.69,6731.438,00000000
3.7,6018.348,00000000
3.71,5574.522,00000000
3.72,5618.841,00000000
3.73,5751.881,00000000
3.74,5796.257,00000000
3.75,5840.646,00000000
3.76,6107.285,00000000
3.77,5929.469,00000000
3.78,6062.809,00000000
3.79,6018.348,00000000
3.8,5973.901,00000000
3.81,6062.809,00000000
3.82,6018.348,00000000
3.83,6240.796,00000000
3.84,5929.469,00000000
3.85,6062.809,00000000
3.86,5973.901,00000000
3.87,6107.285,00000000
3.88,6151.774,00000000
3.89,6018.348,00000000
3.9,5929.469,00000000
3.91,6018.348,00000000
3.92,5973.901,00000000
3.93,6018.348,00000000
3.94,6062.809,00000000
3.95,5929.469,00000000
3.96,6062.809,00000000
3.97,5929.469,00000000
3.98,6018.348,00000000
3.99,6240.796,00000000
4,6107.285,00000000
4.01,6018.348,00000000
4.02,6018.348,00000000
4.03,5973.901,00000000
4.04,5929.469,00000000
4.05,6107.285,00000000
4.06,5929.469,00000000
4.07,6018.348,00000000
4.08,5885.050,00000000
4.09,6107.285,00000000
4.1,6107.285,00000000
4.11,6107.285,00000000
4.12,6018.348,00000000
4.13,5973.901,00000000
4.14,5973.901,00000000
4.15,6018.348,00000000
4.16,6107.285,00000000
4.17,5929.469,00000000
4.18,6151.774,00000000
4.19,5929.469,00000000
4.2,6018.348,00000000
4.21,5973.901,00000000
4.22,5973.901,00000000
4.23,6151.774,00000000
4.24,6018.348,00000000
4.25,5973.901,00000000
4.26,5751.881,00000000
4.27,6107.285,00000000
4.28,5885.050,00000000
4.29,5973.901,00000000
4.3,5885.050,00000000
4.31,6018.348,00000000
4.32,5929.469,00000000
4.33,6062.809,00000000
4.34,6107.285,00000000
4.35,5973.901,00000000
4.36,6240.796,00000000
4.37,5929.469,00000000
4.38,6018.348,00000000
4.39,5840.646,00000000
4.4,6196.278,00000000
4.41,5885.050,00000000
4.42,6107.285,00000000
4.43,6062.809,00000000
4.44,6151.774,00000000
4.45,6062.809,00000000
4.46,6151.774,00000000
4.47,5973.901,00000000
4.48,6062.809,00000000
4.49,6107.285,00000000
4.5,5929.469,00000000
4.51,6062.809,00000000
4.52,5929.469,00000000
4.53,6018.348,00000000
4.54,6018.348,00000000
4.55,6107.285,00000000
4.56,6107.285,00000000
4.57,6107.285,00000000
4.58,5840.646,00000000
4.59,6062.809,00000000
4.6,6018.348,00000000
