,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,-90,-14,-36,-23
1,-90,-14,-36,-22
2,-90,-12,-38,-21
3,-90,-13,-38,-20
4,-90,-14,-36,-22
5,-90,-14,-39,-22
6,-90,-14,-37,-22
7,-90,-14,-38,-21
8,-90,-13,-37,-23
9,-90,-15,-37,-22
10,-90,-14,-38,-22
11,-90,-13,-40,-21
12,-90,-13,-38,-21
13,-90,-15,-37,-22
14,-90,-14,-39,-22
15,-90,-13,-36,-22
16,-90,-14,-37,-23
17,-90,-14,-37,-21
18,-90,-14,-37,-22
19,-90,-14,-38,-21
20,-90,-15,-38,-21
21,-90,-13,-37,-20
22,-90,-15,-37,-24
23,-90,-13,-38,-21
24,-90,-14,-38,-20
