,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,-82,-11,-56,-4
1,-83,-12,-57,-2
2,-78,-12,-56,-1
3,-90,-12,-58,-1
4,-76,-12,-59,-2
5,-78,-11,-57,-2
6,-74,-11,-56,-1
7,-82,-11,-57,-2
8,-77,-12,-58,-1
9,-80,-12,-55,-2
10,-75,-12,-54,-3
11,-81,-13,-60,-1
12,-80,-14,-58,-1
13,-76,-12,-58,-1
14,-73,-12,-54,-3
15,-90,-12,-54,-1
16,-77,-12,-58,-2
17,-83,-11,-57,-3
18,-74,-13,-58,-3
19,-73,-12,-58,-2
20,-71,-12,-59,-2
21,-76,-10,-57,-1
22,-79,-12,-56,-1
23,-80,-11,-58,-1
24,-79,-13,-57,-1
