,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,3,42,3,36
1,22,45,5,47
2,16,44,6,49
3,16,49,0,47
4,7,54,0,43
5,8,53,2,52
6,11,40,5,47
7,15,44,1,45
8,18,47,7,45
9,9,46,4,47
10,11,48,4,48
11,8,44,7,51
