,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,45,33,40,28
1,48,38,39,28
2,47,30,42,27
3,45,26,40,29
4,47,30,38,28
5,45,27,38,28
6,46,28,41,29
7,48,30,39,27
8,48,29,41,26
9,47,25,39,28
10,46,26,40,28
11,47,29,39,29
